senator,ticker,transaction_date,type,party,state,industry,sector,IQ_STATE,Committee Code,Rank Within Party,Party Code,Committee Seniority,Committee Period of Service,Committee_Name,Amount,count,SPY_Price,SPY_Price_30,Stock price,Stock price_30,Excess Return,Sus Trade_return,Sus trade_State,Time,Time2,Committee_Rank
"Cassidy, Bill",DIS,3/31/2016,Purchase,Republican,LA,Services-Misc. Amusement & Recreation,Consumer Services,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,99.31,103.26,0.035829329,1,0,22,0,7
"Cassidy, Bill",UTX,3/31/2016,Purchase,Republican,LA,,,CT,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,0,0,,0,0,23,0,7
"Cassidy, Bill",SLB,3/31/2016,Sale (Partial),Republican,LA,Oilfield Services/Equipment,Energy,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,73.75,80.34,-0.078096776,0,0,24,0,7
"Cassidy, Bill",NVS,3/31/2016,Purchase,Republican,LA,Major Pharmaceuticals,Health Care,0,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,11.5,11.6,0.004750537,1,0,25,0,7
"Cassidy, Bill",CMI,3/31/2016,Sale (Full),Republican,LA,Construction/Ag Equipment/Trucks,Industrials,IN,362,7,200,5,2,"Health, Education, Labor, and Pensions",32500.5,0,205.52,206.3308,109.94,117.03,-0.056653144,0,0,26,0,7
"Cassidy, Bill",SO,3/31/2016,Purchase,Republican,LA,Electric Utilities: Central,Public Utilities,GA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,51.73,50.1,-0.035454877,0,0,27,0,7
"Cassidy, Bill",MSFT,3/31/2016,Purchase,Republican,LA,Computer Software: Prepackaged Software,Technology,WA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,55.23,49.87,-0.10099382,0,0,28,0,7
"Cassidy, Bill",PX,3/31/2016,Purchase,Republican,LA,,,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,0,0,,0,0,29,0,7
"Cassidy, Bill",PG,3/31/2016,Purchase,Republican,LA,Package Goods/Cosmetics,Basic Industries,OH,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,82.31,80.12,-0.030551845,0,0,30,0,7
"Cassidy, Bill",T,7/15/2016,Sale (Partial),Republican,LA,Telecommunications Equipment,Public Utilities,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,215.83,218.46,42.89,43.28,0.003027727,1,0,31,0,7
"Cassidy, Bill",PG,7/15/2016,Sale (Partial),Republican,LA,Package Goods/Cosmetics,Basic Industries,OH,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,215.83,218.46,86.01,87.04,0.000205177,1,0,32,0,7
"Cassidy, Bill",SO,7/15/2016,Sale (Partial),Republican,LA,Electric Utilities: Central,Public Utilities,GA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,215.83,218.46,53.63,52.35,0.036489629,1,0,33,0,7
"Cassidy, Bill",WMT,7/15/2016,Sale (Partial),Republican,LA,Department/Specialty Retail Stores,Consumer Services,AR,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,215.83,218.46,73.67,73.89,0.009061418,1,0,34,0,7
"Cassidy, Bill",TROW,10/31/2016,Purchase,Republican,LA,Investment Bankers/Brokers/Service,Finance,MD,336,14,200,1,2,Finance,8000.5,1,212.55,220.38,64.01,74.06,0.120168327,1,0,35,1,1
"Cassidy, Bill",PX,10/31/2016,Sale (Full),Republican,LA,,,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,0,0,,0,0,1,0,7
"Cassidy, Bill",NSC,10/31/2016,Sale (Full),Republican,LA,Railroads,Transportation,GA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,93,106.46,-0.090902923,0,0,2,0,7
"Cassidy, Bill",AMGN,10/31/2016,Purchase,Republican,LA,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,141.16,144.07,-0.016223486,0,0,3,0,7
"Cassidy, Bill",LOW,10/31/2016,Purchase,Republican,LA,RETAIL: Building Materials,Consumer Services,NC,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,66.65,70.55,0.021676238,1,0,4,0,7
"Cassidy, Bill",EV,10/31/2016,Sale (Full),Republican,LA,,,MA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,0,0,,0,0,5,0,7
"Cassidy, Bill",CVX,10/31/2016,Sale (Partial),Republican,LA,Integrated oil Companies,Energy,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,104.75,111.56,-0.025513845,0,0,6,0,7
"Cassidy, Bill",TROW,10/31/2016,Purchase,Republican,LA,Investment Bankers/Brokers/Service,Finance,MD,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,64.01,74.06,0.120168327,1,0,7,0,7
"Cassidy, Bill",GWW,10/31/2016,Purchase,Republican,LA,Office Equipment/Supplies/Services,Consumer Services,IL,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,208.12,230.57,0.071032068,1,0,8,0,7
"Cassidy, Bill",VFC,10/31/2016,Purchase,Republican,LA,Apparel,Consumer Non-Durables,CO,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,54.21,54.51,-0.031304357,0,0,9,0,7
"Cassidy, Bill",PPG,10/31/2016,Purchase,Republican,LA,Paints/Coatings,Basic Industries,PA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,93.13,95.93,-0.006772891,0,0,10,0,7
"Cassidy, Bill",JNJ,10/31/2016,Sale (Full),Republican,LA,Major Pharmaceuticals,Health Care,NJ,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,115.99,111.3,0.077667905,1,0,11,0,7
"Cassidy, Bill",QCOM,10/31/2016,Sale (Partial),Republican,LA,Radio And Television Broadcasting And Communications Equipment,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,68.72,68.13,0.044189455,1,0,12,0,7
"Cassidy, Bill",CVS,10/31/2016,Purchase,Republican,LA,Medical/Nursing Services,Health Care,RI,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.55,220.38,84.1,76.89,-0.122569663,0,0,13,0,7
"Cassidy, Bill",LOW,3/29/2017,Sale (Partial),Republican,LA,RETAIL: Building Materials,Consumer Services,NC,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,235.54,238.08,82.21,84.88,-0.020787491,0,0,14,0,7
"Cassidy, Bill",FRT,3/29/2017,Purchase,Republican,LA,Real Estate Investment Trusts,Real Estate,MD,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,235.54,238.08,133.15,130.89,-0.027757069,0,0,15,0,7
"Cassidy, Bill",SO,3/29/2017,Sale (Full),Republican,LA,Electric Utilities: Central,Public Utilities,GA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,235.54,238.08,49.95,49.8,0.013680731,1,0,16,0,7
"Cassidy, Bill",TGT,3/29/2017,Purchase,Republican,LA,Department/Specialty Retail Stores,Consumer Services,MN,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,235.54,238.08,55.15,55.85,0.001908925,1,0,17,0,7
"Cassidy, Bill",AMT,3/29/2017,Sale (Full),Republican,LA,Real Estate Investment Trusts,Consumer Services,MA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,235.54,238.08,121.04,125.94,-0.028238733,0,0,18,0,7
"Cassidy, Bill",AAPL,8/8/2017,Sale (Partial),Republican,LA,Computer Manufacturing,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,247.26,246.87,40.02,40.315,-0.008897154,0,0,19,0,7
"Cassidy, Bill",TGT,10/17/2017,Sale (Partial),Republican,LA,Department/Specialty Retail Stores,Consumer Services,MN,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,255.47,258.62,60.17,55.1,0.104194552,1,0,20,0,7
"Cassidy, Bill",ABT,10/24/2017,Sale (Partial),Republican,LA,Major Pharmaceuticals,Health Care,IL,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,256.56,259.76,55.38,55.8,0.004792182,1,0,21,0,7
"Cassidy, Bill",MDT,10/24/2017,Purchase,Republican,LA,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,0,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,256.56,259.76,78.66,82.34,0.03431091,1,0,22,0,7
"Cassidy, Bill",T,10/25/2017,Purchase,Republican,LA,Telecommunications Equipment,Public Utilities,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,255.29,260.36,33.49,34.81,0.019554983,1,0,23,0,7
"Cassidy, Bill",DIS,10/25/2017,Purchase,Republican,LA,Services-Misc. Amusement & Recreation,Consumer Services,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,255.29,260.36,97.8,102.64,0.029628985,1,0,24,0,7
"Cassidy, Bill",CVS,10/25/2017,Purchase,Republican,LA,Medical/Nursing Services,Health Care,RI,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,255.29,260.36,75.53,70.55,-0.085793833,0,0,25,0,7
"Cassidy, Bill",XOM,11/7/2017,Purchase,Republican,LA,Integrated oil Companies,Energy,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,258.67,264.07,83.58,82.55,-0.033199542,0,0,26,0,7
"Cassidy, Bill",QCOM,11/7/2017,Sale (Full),Republican,LA,Radio And Television Broadcasting And Communications Equipment,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,258.67,264.07,64.1,65.23,0.003125806,1,0,27,0,7
"Cassidy, Bill",SLB,11/7/2017,Sale (Full),Republican,LA,Oilfield Services/Equipment,Energy,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,258.67,264.07,66.43,62.07,0.090692397,1,0,28,0,7
"Cassidy, Bill",IBM,11/17/2017,Purchase,Republican,LA,Computer Manufacturing,Technology,NY,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,257.86,266.51,148.97,152.5,-0.009849288,0,0,29,0,7
"Cassidy, Bill",AAPL,12/29/2017,Sale (Partial),Republican,LA,Computer Manufacturing,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.86,286.58,42.3075,42.8775,0.055517816,1,0,30,0,7
"Cassidy, Bill",AAPL,1/31/2018,Sale (Partial),Republican,LA,Computer Manufacturing,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,281.9,269.08,41.8575,44.0525,-0.097470734,0,0,31,0,7
"Cassidy, Bill",IHE,1/31/2018,Sale (Full),Republican,LA,,,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,281.9,269.08,157.38,150.46,-0.001651533,0,0,32,0,7
"Cassidy, Bill",AFL,4/23/2018,Purchase,Republican,LA,Accident &Health Insurance,Finance,GA,336,14,200,1,2,Finance,8000.5,1,266.57,273.36,45.3,45.31,-0.025250983,0,0,33,1,1
"Cassidy, Bill",BLK,4/23/2018,Sale (Partial),Republican,LA,Investment Bankers/Brokers/Service,Finance,NY,336,14,200,1,2,Finance,8000.5,1,266.57,273.36,519.85,542.66,-0.017194646,0,0,1,1,1
"Cassidy, Bill",EMR,4/23/2018,Sale (Partial),Republican,LA,Consumer Electronics/Appliances,Energy,MO,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,69.9,73.01,-0.017757864,0,0,1,0,7
"Cassidy, Bill",UPS,4/23/2018,Purchase,Republican,LA,Trucking Freight/Courier Services,Transportation,GA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,109.11,115.28,0.031076704,1,0,2,0,7
"Cassidy, Bill",LOW,4/23/2018,Sale (Partial),Republican,LA,RETAIL: Building Materials,Consumer Services,NC,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,84.35,94.69,-0.084359397,0,0,3,0,7
"Cassidy, Bill",GWW,4/23/2018,Sale (Full),Republican,LA,Office Equipment/Supplies/Services,Consumer Services,IL,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,286.08,305.22,-0.037869826,0,0,4,0,7
"Cassidy, Bill",AFL,4/23/2018,Purchase,Republican,LA,Accident &Health Insurance,Finance,GA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,45.3,45.31,-0.025250983,0,0,5,0,7
"Cassidy, Bill",IBM,4/23/2018,Purchase,Republican,LA,Computer Manufacturing,Technology,NY,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,145.86,144.67,-0.033630242,0,0,6,0,7
"Cassidy, Bill",CMCSA,4/23/2018,Purchase,Republican,LA,Television Services,Consumer Services,PA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,33.87,31.88,-0.084225793,0,0,7,0,7
"Cassidy, Bill",BLK,4/23/2018,Sale (Partial),Republican,LA,Investment Bankers/Brokers/Service,Finance,NY,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,519.85,542.66,-0.017194646,0,0,8,0,7
"Cassidy, Bill",CVS,4/23/2018,Purchase,Republican,LA,Medical/Nursing Services,Health Care,RI,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,65.68,65.57,-0.02714652,0,0,9,0,7
"Cassidy, Bill",CSCO,4/23/2018,Sale (Partial),Republican,LA,Computer Communications Equipment,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,44.25,43.68,0.037888491,1,0,10,0,7
"Cassidy, Bill",MDT,4/23/2018,Sale (Partial),Republican,LA,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,0,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,80.02,85.26,-0.036620026,0,0,11,0,7
"Cassidy, Bill",SBUX,4/23/2018,Purchase,Republican,LA,Restaurants,Consumer Services,WA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,58.16,57.49,-0.036991678,0,0,12,0,7
"Cassidy, Bill",MSFT,4/23/2018,Sale (Partial),Republican,LA,Computer Software: Prepackaged Software,Technology,WA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,95.35,98.66,-0.008710524,0,0,13,0,7
"Cassidy, Bill",PG,4/23/2018,Purchase,Republican,LA,Package Goods/Cosmetics,Basic Industries,OH,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,73,74.18,-0.00930735,0,0,14,0,7
"Cassidy, Bill",VFC,4/23/2018,Sale (Full),Republican,LA,Apparel,Consumer Non-Durables,CO,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,266.57,273.36,78.1,81.28,-0.014284976,0,0,15,0,7
"Cassidy, Bill",XOM,4/25/2018,Purchase,Republican,LA,Integrated oil Companies,Energy,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.63,272.15,79.5,78.71,-0.042255128,0,0,16,0,7
"Cassidy, Bill",JPM,12/7/2018,Purchase,Republican,LA,Major Banks,Finance,NY,336,14,200,1,2,Finance,8000.5,1,263.57,252.39,103.29,100.69,0.017245728,1,0,17,1,1
"Cassidy, Bill",CSCO,12/7/2018,Sale (Partial),Republican,LA,Computer Communications Equipment,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,46.44,42.92,0.037716522,1,0,1,0,7
"Cassidy, Bill",XOM,12/7/2018,Sale (Partial),Republican,LA,Integrated oil Companies,Energy,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,77.64,71.15,0.046919216,1,0,2,0,7
"Cassidy, Bill",CVS,12/7/2018,Sale (Partial),Republican,LA,Medical/Nursing Services,Health Care,RI,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,74.09,66.82,0.064503235,1,0,3,0,7
"Cassidy, Bill",JPM,12/7/2018,Purchase,Republican,LA,Major Banks,Finance,NY,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,103.29,100.69,0.017245728,1,0,4,0,7
"Cassidy, Bill",SBUX,12/7/2018,Sale (Partial),Republican,LA,Restaurants,Consumer Services,WA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,65.47,63.57,-0.014408213,0,0,5,0,7
"Cassidy, Bill",AAPL,12/7/2018,Purchase,Republican,LA,Computer Manufacturing,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,42.1225,37.065,-0.077648899,0,0,6,0,7
"Cassidy, Bill",NVS,12/7/2018,Sale (Partial),Republican,LA,Major Pharmaceuticals,Health Care,0,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,4.07,4.15,-0.063573634,0,0,7,0,7
"Cassidy, Bill",MSFT,12/7/2018,Sale (Partial),Republican,LA,Computer Software: Prepackaged Software,Technology,WA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,104.82,101.93,-0.015943734,0,0,8,0,7
"Cassidy, Bill",AMGN,12/7/2018,Sale (Partial),Republican,LA,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,191.44,195.44,-0.064763165,0,0,9,0,7
"Cassidy, Bill",FRT,12/7/2018,Sale (Full),Republican,LA,Real Estate Investment Trusts,Real Estate,MD,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,134.02,117.9,0.092429514,1,0,10,0,7
"Cassidy, Bill",PG,12/7/2018,Sale (Partial),Republican,LA,Package Goods/Cosmetics,Basic Industries,OH,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,92.45,92.49,-0.044729004,0,0,11,0,7
"Cassidy, Bill",WMT,12/7/2018,Sale (Partial),Republican,LA,Department/Specialty Retail Stores,Consumer Services,AR,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,263.57,252.39,93.19,93.44,-0.046972039,0,0,12,0,7
